id,qty_multiple,name,product_uom.id,company_id:id,warehouse_id:id,location_id:id,product_id:id,product_min_qty,product_max_qty
scenario.orderpoint_141704,60,OP/00124,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141704,10804,25209
scenario.orderpoint_141706,60,OP/00125,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141706,2842,6632
scenario.orderpoint_141707,60,OP/00126,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141707,158,368
scenario.orderpoint_141708,60,OP/00127,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141708,821,1916
scenario.orderpoint_141987,1,OP/00197,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141987,165,384
scenario.orderpoint_142077,10,OP/00231,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142077,23,137
scenario.orderpoint_141711,75,OP/00129,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141711,36,209
scenario.orderpoint_141712,60,OP/00130,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141712,1415,3301
scenario.orderpoint_141729,1,OP/00143,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141729,15725,36691
scenario.orderpoint_141730,1,OP/00144,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141730,157,366
scenario.orderpoint_141732,1,OP/00145,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141732,62,138
scenario.orderpoint_141733,1,OP/00146,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141733,15201,35468
scenario.orderpoint_141734,50,OP/00147,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141734,137,319
scenario.orderpoint_141736,1,OP/00148,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141736,50,110
scenario.orderpoint_141713,60,OP/00131,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141713,147,342
scenario.orderpoint_141710,60,OP/00128,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141710,1965,4584
scenario.orderpoint_141714,60,OP/00132,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141714,542,1264
