id,product_tmpl_id:id,product_uom:id,product_qty,active
scenario.bom_141907,scenario.product_141907,product.product_uom_unit,1,true
scenario.bom_141908,scenario.product_141908,product.product_uom_unit,1,true
scenario.bom_141944,scenario.product_141944,product.product_uom_unit,1,true
scenario.bom_141945,scenario.product_141945,product.product_uom_unit,1,true
scenario.bom_141946,scenario.product_141946,product.product_uom_unit,1,true
scenario.bom_141947,scenario.product_141947,product.product_uom_unit,1,true
scenario.bom_141948,scenario.product_141948,product.product_uom_unit,1,true
scenario.bom_141949,scenario.product_141949,product.product_uom_unit,1,true
scenario.bom_141930,scenario.product_141930,product.product_uom_unit,1,true
scenario.bom_141931,scenario.product_141931,product.product_uom_unit,1,true
scenario.bom_141932,scenario.product_141932,product.product_uom_unit,1,true
scenario.bom_141933,scenario.product_141933,product.product_uom_unit,1,true
scenario.bom_141934,scenario.product_141934,product.product_uom_unit,1,true
scenario.bom_141935,scenario.product_141935,product.product_uom_unit,1,true
scenario.bom_141936,scenario.product_141936,product.product_uom_unit,1,true
scenario.bom_141937,scenario.product_141937,product.product_uom_unit,1,true
scenario.bom_141938,scenario.product_141938,product.product_uom_unit,1,true
scenario.bom_141939,scenario.product_141939,product.product_uom_unit,1,true
scenario.bom_141940,scenario.product_141940,product.product_uom_unit,1,true
scenario.bom_141941,scenario.product_141941,product.product_uom_unit,1,true
scenario.bom_141942,scenario.product_141942,product.product_uom_unit,1,true
scenario.bom_141943,scenario.product_141943,product.product_uom_unit,1,true
scenario.bom_141950,scenario.product_141950,product.product_uom_unit,1,true
scenario.bom_141951,scenario.product_141951,product.product_uom_unit,1,true
scenario.bom_141952,scenario.product_141952,product.product_uom_unit,1,true
scenario.bom_141953,scenario.product_141953,product.product_uom_unit,1,true
scenario.bom_141954,scenario.product_141954,product.product_uom_unit,1,true
scenario.bom_141955,scenario.product_141955,product.product_uom_unit,1,true
scenario.bom_141956,scenario.product_141956,product.product_uom_unit,1,true
scenario.bom_141957,scenario.product_141957,product.product_uom_unit,1,true
scenario.bom_141958,scenario.product_141958,product.product_uom_unit,1,true
scenario.bom_141959,scenario.product_141959,product.product_uom_unit,1,true
scenario.bom_141960,scenario.product_141960,product.product_uom_unit,1,true
scenario.bom_142107,scenario.product_142107,product.product_uom_unit,1,true
scenario.bom_142116,scenario.product_142116,product.product_uom_unit,1,true
scenario.bom_142122,scenario.product_142122,product.product_uom_unit,1,true
scenario.bom_142126,scenario.product_142126,product.product_uom_unit,1,true
scenario.bom_141640,scenario.product_141640,product.product_uom_unit,1,true
scenario.bom_142108,scenario.product_142108,product.product_uom_unit,1,true
scenario.bom_142109,scenario.product_142109,product.product_uom_unit,1,true
scenario.bom_141291,scenario.product_141291,product.product_uom_unit,1,true
scenario.bom_141293,scenario.product_141293,product.product_uom_unit,1,true
scenario.bom_141295,scenario.product_141295,product.product_uom_unit,1,true
