id,name,user_id:id,date_start,date_end,street,zip,city,stage_id:id,build_type,project_type_id:id
scenario.buildingproject_-2142352715,A.1338.110666/Alder und Eisenhut Ebnat Kappel,scenario.res_users_mka,2015-12-01,2016-02-28,,,,specific_building_project.stage_won_realisation,,
scenario.buildingproject_-2142352686,Schulhaus Frankenthal (IL-Projekt) ,scenario.res_users_rhu,2015-05-19,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142352640,"Am Park, Brunnen",scenario.res_users_fbo,,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142350433,"Jungfrauareal, Wilderswil, 13087",scenario.res_users_mle,2015-05-21,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142350160,Hohlstrasse,scenario.res_users_dla,2015-05-21,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142350019,MFH Leginglen,scenario.res_users_fbo,2016-06-01,2016-09-30,,,,specific_building_project.stage_acquisiton,,
scenario.buildingproject_-2142350008,Migros Arena Thal,scenario.res_users_mka,2015-05-21,,,,,specific_building_project.stage_submission,,
scenario.buildingproject_-2142349547,Beleuchtungssanierung Sunnige Hof / Hohmoos 2-2b als Pilotprojekt,scenario.res_users_mka,2015-10-01,2015-12-31,,,,specific_building_project.stage_won_completed,,specific_building_project.type_house
scenario.buildingproject_-2142348906,Altersheim Chriesigarte Arth,scenario.res_users_dla,2015-05-22,,,,,specific_building_project.stage_closed,,
scenario.buildingproject_-2142348196,Motel,scenario.res_users_mle,2015-05-26,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142346807,"Residenza Sila, Castione",scenario.res_users_sgi,2015-05-26,,,,,specific_building_project.stage_lost,,
