id,name,description,active,default_code,categ_id:id,list_price,standard_price,weight,taxes_id,property_account_income_id,property_account_expense_id,type,state,uom_id:id,valuation
scenario.product_151423,PD2 S 180 CM KNX STA/S,"Präsenzmelder KNX, Design Standard, schwarz",TRUE,151423,scenario.product_category_R201_002,298.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151424,Indoor 180 CM Kombi 2L STA/S,"Bewegungsmelder 10A, 2L Schema 0, Design Standard, schwarz",TRUE,151424,scenario.product_category_R201_001,198.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151425,PD2 S 180 CM Master 1C STA/S,"Präsenzmelder 1-Kanal, Design Standard, schwarz",TRUE,151425,scenario.product_category_R201_002,161.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151426,Indoor 180 CM Kombi STA/S,"Bewegungsmelder 10A, Design Standard, schwarz",TRUE,151426,scenario.product_category_R201_001,156.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151427,Indoor 180 CM Minuterie STA/S,"Bewegungsmelder für Minuterien, 2 Leiter, Design Standard, schwarz",TRUE,151427,scenario.product_category_R201_001,146.1,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151428,Indoor 180 NUP Kombi BEG/SI,"Bewegungsmelder 10A, silber",TRUE,151428,scenario.product_category_R201_001,185,0,0.24,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151429,Indoor 180 NUP Kombi BEG/S,"Bewegungsmelder 10A, schwarz",TRUE,151429,scenario.product_category_R201_001,185,0,0.24,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151430,Indoor 180 NUP Minuterie BEG/SI,"Bewegungsmelder für Minuterien, 2 Leiter, silber",TRUE,151430,scenario.product_category_R201_001,175,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151431,Indoor 180 NUP Minuterie BEG/S,"Bewegungsmelder für Minuterien, 2 Leiter, schwarz",TRUE,151431,scenario.product_category_R201_001,175,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151432,Indoor 180 NUP Kombi 2L BEG/SI,"Bewegungsmelder 10A, 2L Schema 0, silber",TRUE,151432,scenario.product_category_R201_001,227,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151433,Indoor 180 NUP Kombi 2L BEG/S,"Bewegungsmelder 10A, 2L Schema 0, schwarz",TRUE,151433,scenario.product_category_R201_001,227,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151434,PD2 S 180 NUP Master 1C BEG/SI,"Präsenzmelder 1-Kanal, silber",TRUE,151434,scenario.product_category_R201_002,190,0,0.267,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151435,PD2 S 180 NUP Master 1C BEG/S,"Präsenzmelder 1-Kanal, schwarz",TRUE,151435,scenario.product_category_R201_002,190,0,0.267,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151436,PD2 S 180 NUP Master 2C BEG/SI,"Präsenzmelder 2-Kanal, silber",TRUE,151436,scenario.product_category_R201_002,210,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151437,PD2 S 180 NUP Master 2C BEG/S,"Präsenzmelder 2-Kanal, schwarz",TRUE,151437,scenario.product_category_R201_002,210,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151438,PD2 S 180 NUP Slave BEG/SI,"Präsenzmelder Slave, silber",TRUE,151438,scenario.product_category_R201_002,180,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151439,PD2 S 180 NUP Slave BEG/S,"Präsenzmelder Slave, schwarz",TRUE,151439,scenario.product_category_R201_002,180,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151440,PD2 S 180 NUP 12-48V BEG/SI,"Präsenzmelder 12V-24V-48V, silber",TRUE,151440,scenario.product_category_R201_002,218,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
