id,name,active,default_code,categ_id:id,purchase_ok,sale_ok,can_be_expensed,list_price,standard_price,property_account_expense_id,supplier_taxes_id,property_account_income_id,taxes_id,type,state,uom_id:id
scenario.exp_product_0046,Privat MSE ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0047,Privat MLE ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0048,Privat SGI ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0049,Porti ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0050,Porti mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0051,EDV Zubehör ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0052,EDV Zubehör mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0053,Büromaterial mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0054,Software/Bücher/Drucksachen ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0055,Software/Bücher/Drucksachen mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0056,Einkauf v/Hilfsmaterial ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0057,Einkauf v/Hilfsmaterial mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0058,Ausbildungsmaterial ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0059,Ausbildungsmaterial mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0060,Büroeinrichtung Divers ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0061,Büroeinrichtung Divers mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0062,Messen ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0063,Messen mit MWST 2.5 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 2.5% sur invest. et autres ch. (Incl. TR),,,product,sellable,product.product_uom_unit
scenario.exp_product_0064,Messen mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0065,Reinigungsmaterial ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0066,Reinigungsmaterial mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0067,Übrige Büro und Verwaltungsaufwand ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0068,Übrige Büro und Verwaltungsaufwand mit MWST 2.5 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 2.5% sur invest. et autres ch. (Incl. TR),,,product,sellable,product.product_uom_unit
scenario.exp_product_0069,Übrige Büro und Verwatlungsaufwand mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0070,Personalausbildung ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0071,Personalausbildung  mit MWST 2.5 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 2.5% sur invest. et autres ch. (Incl. TR),,,product,sellable,product.product_uom_unit
scenario.exp_product_0072,Personalausbildung  mit MWST 3.8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 3.8% sur invest. et autres ch. (Incl. TS),,,product,sellable,product.product_uom_unit
scenario.exp_product_0073,Personalausbildung  mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0074,Geschenk Personal ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0075,Geschenk Personal mit MWST 2.5 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 2.5% sur invest. et autres ch. (Incl. TR),,,product,sellable,product.product_uom_unit
scenario.exp_product_0076,Geschenk Personal  mit MWST 3.8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 3.8% sur invest. et autres ch. (Incl. TS),,,product,sellable,product.product_uom_unit
scenario.exp_product_0077,Geschenk Personal  mit MWST 8 %,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0078,Kartengebühr ohne MWST,TRUE,,hr_expense.cat_expense,False,False,True,0,0,4200,,,,product,sellable,product.product_uom_unit
